Case NumberClient FeedbackResolution CommentsAnalysis CommentsCATEGORIES_8_57
04/05/2017-3419451Other || POA for client contacted branch and advised client is 86 years old and was coerced into signing for vehicle loan by 3rd party relative. Branch rep started elderly abuse case,Engaged Manager or Other Support Group || Dealer Relationship Manager is contacting dealer  to try and resolve. Client has voluntarily surrendered the vehicle.  ******************************  Feedback only and corporate security for dealer contacted as well.04/18/17 - No ack needed-Resolved @ POC  jr    04/18  sent to POC to confirmed they have reached out to dealer- jr  04/25 Glenda Kiser confirmed it was sent to Corporte security for dealer group-jr  04/26 Glenda Kiser confirmed or CE that branch submitted elderly abuse form - jr       CONTRACT DATE   10/27/16  signed contract on file.57
04/06/2017-3421229What happened  Product:  Consumer Loan: Vehicle loan  Issue:  Managing the loan or lease  Describe what happened:  This is a complaint about Suntrust. My car was totaled, other party was 100% negligent, other party's insurer, State Farm, paid fair market value and my insurer, Progressive, paid the difference to pay off car loan entirely. During this time, I received daily harassing phone calls, often before 9am ET, from Suntrust's collections department. Each and every time I assured them that the car was totalled and the entire payoff amount was already issued by State Farm and Progressive and provided account numbers supplied by those insurers. Suntrust demanded that I pay my monthly payment directly to them, offering to refund the difference when they processed those checks, and threatening to damage my credit if I did not pay immediately over the phone. On the last such call, Suntrust verified that they received payment and said the account was paid in full. Today I see that my credit report now shows a Delinquency for $0. I find this to be insulting and abusive treatment.  Attachment    Desired resolution  Desired resolution:  I should never had had my credit damaged. Suntrust has created a credit dispute on my behalf. I would like to have my credit repaired immediately, but apparently my credit will be damaged for at least 30 days from today, assuming the disputed charge is removed. Suntrust could perhaps also offer to pay for free credit reporting for me for a year or something similar.      Consumer Information  First name:  Michael  Last name:  Powers  Email Address:  michael@mpowers.net  Phone:  7037790576  Street:  42275 Big Springs Court  Age:  44  City:  Leesburg  State:  VA  ZIP Code:  20176  Country:  United States    On behalf of myself:  Yes  On behalf of someone else:  No    Complainant is a service member:  No  Complainant is a dependent of a service member:  No        Product information  Account/Loan number:  06300004440454173  Company name:  SunTrust Banks, Inc.  Street:  303 Peachtree Street NE - GA - Atlanta-0645  City:  Atlanta  State:  GA  ZIP code:  30308  Country:  United States  Where did you get the loan:    In which state is the store located:    Website:        Case Details  Case number:  170406-000256  Company status:  Sent to company  Sent to company:  04/06/2017 09:34  Respond by:  04/21/2017    [https://secure.consumerfinance.gov/euf/rightnow/optimized/1489419073/themes/cfpb/images/Print.png]Print <javascript:void(0);>      Eboni Chambers, Officer, Client Advocacy Management Office  SunTrust Bank | Take a step toward financial confidence. Join the movement at onUp.com.  Office: 804.270.8410 | Fax: 877.789.6844 | Mail Code CS-RIC-4101 | 7818 Parham Rd, Richmond, VA  23294    LEGAL DISCLAIMER  The information transmitted is intended solely for the individual or entity to which it is addressed and may contain confidential and/or privileged material. Any review, retransmission, dissemination or other use of or taking action in reliance upon this information by persons or entities other than the intended recipient is prohibited. If you have received this email in error please contact the sender and delete the material from any computer.  By replying to this e-mail, you consent to SunTrust's monitoring activities of all communication that occurs on SunTrust's systems.  SunTrust is a federally registered service mark of SunTrust Banks, Inc.  [ST:XCL]Although the vehicle used as collateral for the loan was totaled, you are still responsible for ensuring that your regular payments are made to the account until the payoff is received from the insurer and the account is closed. Because we did not receive your February 10, 2017 payment in a timely manner, a late payment fee was assessed to the account on February 17, 2017 and reporting was made to the credit bureaus accordingly. For this reason, we regret that we are unable to comply with your request to remove the reporting.    If you have any documentation or written correspondence that you believe would provide evidence that current reporting is inaccurate, please forward it to me at our address or fax number noted above. We will be glad to review any additional documentation you send us regarding this issue.    In regard to your concerns about collection calls, please note that Federal regulations permit calls to be made between 8 a.m. and 9 p.m. local time, and that all calls were made within this time frame. In addition, a portion of the collection calls you received were being made for past due amounts on your vehicle loan account ending in 2760. As of the date of this letter, the account is past due for the March 24, 2017 payment. SunTrust acts in accordance with all State and Federal laws and regulations and denies the allegations of wrong doing.4/7- 10.50 am- spoke to client and ackn complaint @ 7037790576 - jgm  4/20: The client is responsible for making payments until we receive the insurance check for payoff. No bank error and we are unable to remove credit reporting.  4/20: I called Mr. Powers and let him know that the response would be delayed briefly.57
04/06/2017-3421421Challenging Resolution Process;Default / Negative Impacts || Client states there is a inquiry from SunTrust on is credit report, client states that he has never done business with Sun Trust.Submitted Research / Task Form Request || Submitted Loan Research to review  ***********************************    Advised Mr. Taylor to contact Fraud to open an ID Theft case. Provided #800-447-8994. He appreciated the info and was satisfied.4/22- no ack reqiuired. auto close case. re-opened for re-review  Please review  loan research request and outcome. Please determine why inquiry was placed on clients acct. GP    4.24.17- auto closed case reopened. Received after original due date. Sent ext request or to notate not to charge me for late case.    Pulled call from submitter on 4/6/17. Inquiry on credit file dated 6/14/16. Non-client stated he doesn't do business with us, only his credit union. Non-client said he didn't apply for a loan and he has had ID theft.  Submitter entered LRR 7180975. Advised client he would receive paperwork and follow up.    3559 Meadow Lark Dr  Decatur, IL 62526  PH 217-853-1962    SSN 333-62-4594    submit task to Jackie to see if we can locate an application. She could not locate anything. Sent to Lightstream.     LRR said it was sent to fraud. Reviewed CSI could not locate anything under name or social.    Lightstream did have a declined app. Sent back to LS to get email associated with app.  Email address: Bosinc23@gmail.com  same physical address    10:54 am - called 217-853-1962 left message .VM ID a business? (hard to understand what it said)    4.25.17 1:46 pm called 217-853-1962 left message- again could not understand VM ID.    1:55 pm VM from 217-853-1962, Taylor.    1:58 pm called him back. Confirmed email address, mailing address and last four of social. Mr. Taylor said he didn't know what Lighstream was and he did not apply for any loan online. Advised I will get with fraud to open a case and they will reach out to him.    submit task to fraud  Fraud said client needs to call 800-447-8994    3:31 pm called him back and advised of resolution8
04/06/2017-3421789Challenging Resolution Process || The client said he tried calling our back office to report his credit card being used without his authorization, but was unable to reach anyone. When in branch the client wouldn't sit down with anyone either, he also mentioned that he does not have possession of the card as well.Unresolved - Complaint Escalation Needed || Client should be dealt with from our back office to report his credit card not being in his possession. Client wouldn't sit with anyone in branch due to frustration.  ************************************      The account balance of $325.35 was waived and the tradeline removed from credit reporting.  -Discussed with client on 4/6 and advised it takes about 4 - 6 weeks to have removed from credit reporting.4/6/17 - Discussed with client.  -client never applied for card in 2013 and never received one.  -Card never activated and only has annual fee of $49 four times and interest - no late charges.  -Explained will take 4 - 6 weeks to remove from credit reporting.  -ACAPS 20131561233210  date:  6/5/13.  -Application more than 1 year old - no teammate feedback needed.    4/7/17- Submitted request to delete all charges:  -Confirmation # (Request ID):  7183290  4/13/17- Confirmed account at zero balance and U status applied.  4/17/17 - Confirmed no fraud notes in FDR.  4/18/17 - Confirmed no fraud notes in FDR.  4/19/17 - Confirmed no fraud notes in FDR.  4/20/17 - Confirmed no fraud notes in FDR.  4/25/17- no fraud notes - emailed Retail Lending.  4/27/17- Confirmed account removed from reporting today:  -5481900050118783    **ADMN FU: please make sure negative reporting for 06/13 has been removed**8
04/06/2017-3421865Caller Mrs. Rose Townsend escalated looking for resolution for a credit report from SunTrust.I empathized with the non-client and submitted the case: 04/06/2017-3421660 for the request to remove credit reporting inquiry and confirmed the various timelines of the dispute. Client understood and had no further needs.  ***Prior comments from originating case***:  **********************************************************4/13- CE only, no ack or follow up required, resolved at POC.-HL    - Status Reason Denied Approval/Denial Detail   INQUIRY FOR 7/22/15 ACCURATE    - the CBD case mentions client is victim of ID theft, but ID theft case hasn't been opened.     - Sent email to CFS to review and ensure complaint was properly resolved.    4/18- CFS has not responded, sent followup email.  - CFS responded with the following- UTKH99 - 4/17/2017 9:48 AM - I called the client back at the number provided: 912-354-4800 to file an Identity theft claim based on further review of the conversation. The number went to Georgia Eye Institutes, not to a valid number of the caller. No further follow up available.57
04/06/2017-3422096Client states the did not want to open the savings account, however the representative kept insisting that it was necessary for his credit card.I advised the client that because this is a new account, the only way he can close it by sending a letter with the information I provided him.  ***Prior comments from originating case***:  **********************************************************  Resolved and confirmed with sales client agreed to account04/19/17 - No ack needed-Resolved @ POC  jr  04/19 emailed poc for statement -jr  04/20 per Luisa Diaz " After review of the call at 19:00 Jacqueline began to cover the benefits of having a deposit account with SunTrust so he can take advantage of the redemption bonus that our credit card offers. The client applied for a SunTrust credit card, so Jacqueline wanted to help the client earn as much as possible. At 29:00 in the call she brings up the benefits again on having a savings account. At 32:00 the client speaks to his wife about opening the savings account. The client states #definitely go ahead and set up the account#    -	Jacqueline did not pressure the client to open the account, she provided all of the benefits on having a savings account, and the client ultimately agreed to add the product.57
04/06/2017-3422148Client went to apply for a new ST credit card but the TM ran the wrong person's credit so she was declined. Client had the documentation handed to her and it had someone else's name and information. Client will bring the documentation back to the branch location.Filed grievance against the branch. Informed client can file an application under her information still if she wishes. Client did not provide enough information where I could locate the other client.    uteg21 4/6/17 1:30 pm CST Called branch location VIRGINIA AVENUE to report possible breach of information there so they can escalate it up through their ISO. Spoke to Griselda. Provided client's information and phone number if they want to reach out to her directly to see if they can get the other client's information and to let them know that the client will bring the documents back to the branch at the earliest convenience. Informed them that the client went into the branch on 3/22/17 have application filed. She is going to reach out to the client.  ***Prior comments from originating case***:  **********************************************************4/13- CE only, no ack or follow up required, resolved at POC.-HL    - sent email to branch for feedback and to confirm if document was returned or not    4/14- On 4/13 BM responded with-   The paperwork has not been returned.  The client is sick and said she would return it when she is better. The credit card was applied for under the correct social so the inquiry is valid on the other client.  - sent another email asking what personal info was on the document and the name/CIN of the other client.    4/18- Branch responded on 4/14 with the following- We have no idea what the document is or who it references.  We talked to the client yesterday and she said she was still sick.  We offered to go and pick it up but she said she did not want people coming to the house.  I am hoping that she will bring it in soon.57
04/06/2017-3422392Default / Negative Impacts;Other || client was past due on his equity line.  his bill was for $8 he didn't realize that he still owed $8 so the bill was past due and reported on his credit report.  he states that he was not contacted and when he got the next bill he came in and paid in full.  he is showing derogatory on his credit report and is extremely upset.  he called credit bureaus as directed and they told him that we can have the derogatory removed.Unresolved - Complaint Escalation Needed || I called collections and credit dispute departments who stated that we cant have the derogatory removed from the clients account and that he would need to call the credit bureaus and dispute or provide a letter of explanation to them.  when he called, he was told that we CAN remove the derogatory and he demands that this be done.  ***********************************    Our records reflect that your statement ending December 17, 2016 had a balance of $2,710.50. We received this payment on January 11, 2017. However, between the time your statement ended and the payment posted, the account accrued interest of $8.86. Your statement ending January 17, 2017 showed this balance was due by February 12, 2017. Because we did not receive the payment until April 3, 2017, the account was reported 30 days past due for the February 12, 2017 payment. For this reason, we regret that we are unable to comply with your request to remove the reporting.    If you have any documentation or written correspondence that you believe would provide evidence that current reporting is inaccurate, please forward it to me at our address or fax number noted above. We will be glad to review any additional documentation you send us regarding this issue.4/7/17- Client paid the December statement balance on 1/11/17 but interest had accrued for $8.86.  - Emailed CBD Research to find out what reported late:  -  the payment that was due in February but made on 4/3 is being reported 30 days late.  - Confirmed with Collections there were no Collection calls made to the client.  -Client has been getting the monthly statements.  4/7/2017 2:33 PM (386) 447-3195 Acknowledgement call - I left a voice mail. # HMD    4/11/17 - 9:13 am CT 386 503-0362 - client left vm asking I call this #.  -contacted client and discussed.  -client states he was told by a branch teammate ( 7 years ago) he had to leave a small balance in his accounts to keep it from closing.  -Advised that would be true of deposit accounts but not loan accounts - no other bank error found.  -Client requested the late reporting be removed.  -Submitted request:  - .   For future reference, the case # is  04/12/2017-3434625.    4/14/17 - 11:45 am CT 386 503-0362 - Contacted client and left vm advising the credit reporting can not be changed.  - Client called back and left vm saying he wanted a letter explaining the account only had a past due amount of $8.    4/17/17 - 3:05 pm CT 386 503-0362 - Discussed again with client (after he left me a vm earlier today) and explained when he said he paid the balance that the balance he paid on 1/11/17 was only the balance as of 12/17/16 and on 12/18/16 it was not the balance because interest accrues everyday but he still wants to speak with a manager because he feels his credit should not be affected because there was no principal owed just interest.  -Emailed Ginger. (Need to call 386 503-0362 )  -NOTE - These is also a Final Response ready to be mailed.    4/27/17 - 11:09 am CT 386 503-0362 - Spoke with Dr. Sofianos and let him know Ginger is re - reviewing his complaint.  -Mailed letter.57
04/06/2017-3422611Documentation Challenges || CLIENT SON (BRETT BURSTELL)CAME INTO BRANCH TO BE ADDED TO PARENTS ACCOUNTS. EXPLAINED THAT WE NEED HIS PARENTS IN THE BRANCH IN ORDER TO ADD HIM ON AS PER THE TRUST. SON IS THREATENING TO GO TO LOCAL NEWS STATIONS AND NEWS PAPERS AS WELL AS RETAIN LEGAL COUNCIL SON IS ALSO SAYING HE IS CALLING OFFICE OF PRESIDENT IN ORDER TO GET RESOLUTION.Engaged Manager or Other Support Group;Communicated Decisions / Option(s);Provided Status and/or Next Steps || CLIENT SON CAME INTO BRANCH TO BE ADDED TO PARENTS ACCOUNTS. EXPLAINED THAT WE NEED HIS PARENTS IN THE BRANCH IN ORDER TO ADD HIM ON AS PER THE TRUST. TRUST HAS TOTAL OF 5 CO-TTEES AND EXPLAINED THAT ALL CO-TTEES MUST BE PRESENT SAME DAY TO BE ADDED TO ACCOUNT OR THERE ARE PROVISIONS IN THE TRUST AGREEMENT FOR CO TTEES TO BE REMOVED. EXPLAINED IF EVERYONE CANNOT BE HERE WE CANNOT MAKE CHANGES. EXPLAINED WE MUST ID ALL CLIENTS AND THOSE TO BE ADDED TO ACCOUNTS AS PER POLICY IN THE BRANCH.    ******************************  No folder in R Drive04/19/17 - No ack needed-Resolved @ POC  jr           duplicate case  3425394 csf case opened and being researched57
04/08/2017-3427653Other || ch ci inq on acct info... stated was not aware cc was a completely new acct... ch believed was an upgrade to the existing acct... ch requested acct to be close without affecting her credit...Unresolved - Complaint Escalation Needed;Clarified Policy, Process, Product, Service || apologized and explain policies, procedures and options...  &&((((((((((    ***************  Call back letter sent. Client request that card is closed, Need to let her know that inquiry will remain, we would only remove the inquiry if it is a bank error. Matter closed4/10 sent email to the branch for statement  4/10 email from branch- client cme into the branch and now remembers the card, but still wants it closed because she does not want two cards    4.11.17- Ackn vcml left on (813) 748-0453- SS    4/17 Left message    4/20 Called client left voicemail- Need for her to know that closing the card will not remove inquiry since she now says that the application is not a fraud application.57
04/10/2017-3429233Client is upset because a late payment is being reported for her, after she made a paydown on the access 3.  She filed a dispute and wants this to be removed from her credit report.I apologized to her and explained that the credit report isn't something that we can change as a courtesy, and the report has to remain despite it having been for a low balance.  ***Prior comments from originating case***:  **********************************************************    CAMO decided that report should be updated and delinquency was removed. Late fee was already previously removed.4/18- CE only, no ack or follow up required, resolved at POC.-HL    - payment of $1.13 was due on 11/25/16, late fee of $2.00 charged on 12/12/16, payment made on 1/13/17.    - found CBD case 3397103 it says- ***DENIAL REASON*** DENIAL LETTER SENT B/C NOTHING IN NOTES STATE A BANK ERROR WAS MADE, DELINQS ARE VALID, ACCOUNT REPORTING CORRECTLY;    - opted in for compliance review to ensure there are no compliance concerns about late fee being more than payment amount due.    4/25- Compliance is requesting that the delinquency reporting be removed because the acct was past due for a little over $1.  Sent email to CBD for assistance.    - Per Meagan, if i submit a new CBD this will be taken care of. I submitted case 3463361.    4/26- CBD case was approved- 	***UPDATE REASON***REMOVED DELINQS FOR 12/16 & 01/17;    4/27- per comments on the acct and LRR 7070047, the late fee of 2.00 was already waived.    - @8:07 LM for client to contact me.  - client will automatically get a letter from the CBD to advise the report is being updated.57
04/10/2017-3430143Lack of Follow Up or Status Updates;Challenging Resolution Process || Client construction loan has converted to permanent. Due to information that was incorrect, the loan boarded to MSP with incorrect dates. The client is receiving default notices and has even received a default modification application. The loan is not in default but appears to be because of error by SunTrust employee. The client is frustrated and upset that the issue has not been taken care of before now.    Unresolved - Complaint Escalation Needed;Provided Status and/or Next Steps || The issue has not been resolved. The client is still receiving the default notices. The client is threatening to take further action if the issue is not cleared up immediately. They do not want this to reflect on their credit history or any negative impact.\N4/18/17,uvme5,new signed corrected docs are needed before system correction can occur per task notes by V. Hines,,  **stops have been placed on file to prevent late fees & notices thru 5/5/17  PLX shows the corrected docs for 1st payment date of May 1st,2017,,MSP notes show docs sent out on 4/7/17 by ETO-Ella Trimiew.  **default letter generated 3/31/17 prior to start of correction**  *sent email to verify if docs have come back from client*  4/19/17,uvme5 ,email response rec from Karen Stephens...corrected docs were fedxed to client ,loan is not past due,client should receive today,& has advised she would return docs in a day or two,client was also sent another 1st pmt letter,1st pmt due 5/1/17..added   email to r-drive    04/25/17 UVDB2 - loan has been updated and now reflects a due date of 05/01/2017.  Sent email to SurePay Dept to setup the RPO that they denied earlier this month because of the erroneous delinquency.8
04/10/2017-3430173Fees, F/C, or other Monetary Impacts (Bank Error);Lack of Follow Up or Status Updates || Client construction perm loan has permed up. Due to SunTrust error when boarding the loan to MSP, incorrect information was provided and the loan boarded with this incorrect information. The borrower is receiving default notices when the loan is not in default. Ask for immediate resolution and to clear credit reporting if this has been impacted.    Unresolved - Complaint Escalation Needed || Client asked for immediate resolution to SunTrust error. Does not want negative information reported to the credit bureaus.\N4/18/17,uvme5,corrected docs have been received per MSP notes-added screen shot of MSP to ( r-drive).  ** no fees have been assessed & no negative credit    UVRC21- 4.21.17- spoke to credit reporting dept about this matter. since the loan was not reporting on 4.5.17 when the loan does start reporting it will reflect the current status of the loan which at this time it is 2017.  UVRC21- 4.21.17 email to Jackie to request:    Please assigned to a SME to have the property inspection fee waive on this loan.  This loan was a construction perm loan and the  loan was setup with the incorrect due date of 9.1.16. The due date was corrected by our New Loans Department on 4.12.17 to show 5.1.17. However this loan was still access an inspection fee. Please advise-- PER jackie----  The charge is showing in the T account which means not charged to the customer8
